,repo_name,method_invocations,filter
134,soomla/unity3d-profile,1,best_matchFalse
135,MaxwellGengYF/Unity-MPipeline,13,best_matchFalse
136,deadlyfingers/UnityWav,0,best_matchFalse
137,mvi/UnityXNA,0,best_matchFalse
138,modesttree/Unity3dAsyncAwaitUtil,3,best_matchFalse
139,Seanba/Tiled2Unity,0,best_matchFalse
140,monitor1394/unity-ugui-XCharts,13,best_matchFalse
141,stormtek/unity-rts-demo,24,best_matchFalse
142,jiulongw/swift-unity,0,best_matchFalse
143,PlayFab/UnitySDK,0,best_matchFalse
144,yasirkula/UnitySimpleFileBrowser,0,best_matchFalse
145,daemon3000/InputManager,71,best_matchFalse
146,HiddenMonk/Unity3DRuntimeTransformGizmo,28,best_matchFalse
147,woshihuo12/UnityHello,6,best_matchFalse
148,AngryAnt/UnityHacks,40,best_matchFalse
149,keenanwoodall/Deform,0,best_matchFalse
150,EnoxSoftware/OpenCVForUnity,33,best_matchFalse
151,umasteeringgroup/UMA,42,best_matchFalse
152,u3dkbe/kbengine_unity3d_balls,4,best_matchFalse
153,mpreble/UnityFBXImporter,0,best_matchFalse
154,parse-community/Parse-SDK-dotNET,0,best_matchFalse
155,liangxiegame/QFramework,0,best_matchFalse
156,SebLague/2DPlatformer-Tutorial,43,best_matchFalse
157,SaladLab/Unity3D.IncrementalCompiler,0,best_matchFalse
158,alvyxaz/barebones-masterserver,23,best_matchFalse
159,zios/unity-themes,0,best_matchFalse
160,MephestoKhaan/UnityEventVisualizer,0,best_matchFalse
161,Unity-Technologies/AssetGraph,0,best_matchFalse
162,lordjesus/UnityNEAT,2,best_matchFalse
163,NicholasSheehan/Unity-Native-Sharing,0,best_matchFalse
164,exmex/UnityMoba,2,best_matchFalse
165,keijiro/MidiJack,0,best_matchFalse
166,cjddmut/Unity-2D-Platformer-Controller,13,best_matchFalse
167,jamesjlinden/unity-decompiled,89,best_matchFalse
168,Unity-Technologies/PostProcessing,0,best_matchFalse
169,luzexi/Unity3DNavMesh,0,best_matchFalse
170,DanVioletSagmiller/UnitySOLID,6,best_matchFalse
171,SlightlyMad/AtmosphericScattering,10,best_matchFalse
172,coconauts/startcraft-unity3d,34,best_matchFalse
173,Unity-Technologies/PostProcessing,0,best_matchTrue
174,GenaSG/UnityUnetMovement,23,best_matchFalse
175,tsubaki/Unity_UI_Samples,0,best_matchFalse
176,GlitchEnzo/NuGetForUnity,0,best_matchFalse
177,kmbang/UnityNativeEdit,6,best_matchFalse
178,Unity-Technologies/DOTS-training-samples,114,best_matchFalse
179,googleanalytics/google-analytics-plugin-for-unity,0,best_matchFalse
180,mmd-for-unity-proj/mmd-for-unity,0,best_matchFalse
181,keijiro/SonarFx,1,best_matchFalse
182,keijiro/Reaktion,2,best_matchFalse
183,Unity-Technologies/DOTS-training-samples,114,best_matchTrue
184,MattRix/Futile,14,best_matchFalse
185,DMeville/Unity3d-Dungeon-Generator,2,best_matchFalse
186,jpush/jpush-unity3d-plugin,2,best_matchFalse
187,kaistseo/UnitySocketIO-WebSocketSharp,0,best_matchFalse
188,TouchScript/TouchScript,27,best_matchFalse
189,LiuFeng1011/UnityNetWork,0,best_matchFalse
190,keijiro/unity-dither4444,0,best_matchFalse
191,YousicianGit/UnityMenuSystem,1,best_matchFalse
192,dave-hillier/disruptor-unity3d,0,best_matchFalse
193,dbrizov/NaughtyWaterBuoyancy,0,best_matchFalse
194,roboryantron/UnityEditorJunkie,0,best_matchFalse
195,GTA-ASM/SanAndreasUnity,54,best_matchFalse
196,keijiro/KvantGrass,0,best_matchFalse
197,Elringus/UnityGoogleDrive,0,best_matchFalse
198,badkangaroo/UnityProjects,38,best_matchFalse
199,kwnetzwelt/unity3d-dissolve-shader,0,best_matchFalse
200,UnityCommunity/UnitySingleton,0,best_matchFalse
201,keijiro/Pix2Pix,3,best_matchFalse
202,unity3d-jp/UnityChanSpringBone,0,best_matchFalse
203,spatialos/gdk-for-unity,11,best_matchFalse
204,EllanJiang/GameFramework,0,best_matchFalse
205,Wenzil/UnityConsole,14,best_matchFalse
206,qinyuanpei/Excel2Unity,0,best_matchFalse
207,Phong13/BulletSharpUnity3d,65,best_matchFalse
208,NetEase/pomelo-unityclient-socket,0,best_matchFalse
209,noodle1983/UnityAndroidIl2cppPatchDemo,0,best_matchFalse
210,imkira/unity-sysfont,0,best_matchFalse
211,ArthurBrussee/Vapor,0,best_matchFalse
212,pixelnest/tutorial-2d-game-unity,4,best_matchFalse
213,aliessmael/Unity-Logs-Viewer,22,best_matchFalse
214,EcsRx/ecsrx.unity,18,best_matchFalse
215,keijiro/Voxelman,0,best_matchFalse
216,CiaccoDavide/Unity-UI-Polygon,0,best_matchFalse
217,fpanettieri/unity-socket.io-DEPRECATED,0,best_matchFalse
218,unitycoder/UnityLauncher,0,best_matchFalse
219,ricardojmendez/LibNoise.Unity,0,best_matchFalse
220,dcariola/XCodeEditor-for-Unity,0,best_matchFalse
221,SebLague/Path-Creator,0,best_matchFalse
222,huika/UMA,13,best_matchFalse
223,Unity-Technologies/arfoundation-samples,12,best_matchFalse
224,keijiro/KinoFog,0,best_matchFalse
225,sploreg/goap,0,best_matchFalse
226,dzonatan/Unity3D-LogCat-extension,0,best_matchFalse
227,aceyan/UnityEffects,0,best_matchFalse
228,dgkanatsios/AngryBirdsStyleGame,13,best_matchFalse
229,soomla/unity3d-levelup,16,best_matchFalse
230,Dandarawy/Unity3D-Globe,59,best_matchFalse
231,UnityTech/ConnectAppCN,33,best_matchFalse
232,Unity-Technologies/Standard-Assets-Characters,3,best_matchFalse
233,neuecc/ZeroFormatter,0,best_matchFalse
234,Cysharp/MagicOnion,0,best_matchFalse
235,Nition/UnitySkidmarks,6,best_matchFalse
236,Chaser324/unity-build,0,best_matchFalse
237,thomasfredericks/UnityOSC,0,best_matchFalse
238,tinkerer/UnityWrapper,0,best_matchFalse
239,gabstv/Farseer-Unity3D,8,best_matchFalse
240,Unity-Technologies/vscode-unity-debug,0,best_matchFalse
241,Unity-Technologies/2d-techdemos,5,best_matchFalse
242,WiggleWizard/quake3-movement-unity3d,8,best_matchFalse
243,JefferiesTube/UnityEditorHelper,0,best_matchFalse
244,Mukarillo/UnityTetris,5,best_matchFalse
245,Busta117/SQLiteUnityKit,0,best_matchFalse
246,mofr/Diablerie,33,best_matchFalse
247,Reinisch/Darkest-Dungeon-Unity,76,best_matchFalse
248,allanpichardo/Unity-Beat-Detection,0,best_matchFalse
249,xraxra/IMP,0,best_matchFalse
250,xraxra/IMP,0,best_matchTrue
251,y85171642/UnityWebSocket,0,best_matchFalse
252,GabLeRoux/unity3d-ci-example,3,best_matchFalse
253,Siccity/xNode,0,best_matchFalse
254,aws-samples/aws-sdk-unity-samples,0,best_matchFalse
255,ecidevilin/UnityMeshSimplify,9,best_matchFalse
256,Flafla2/Unity-Wiimote,0,best_matchFalse
257,Chman/Moments,1,best_matchFalse
258,KeyleXiao/UNITY3D-DATA-VIEWER,0,best_matchFalse
259,modesttree/Projeny,0,best_matchFalse
260,modesttree/Projeny,0,best_matchTrue
261,akof1314/UnityAssetDanshari,0,best_matchFalse
262,unity-plugins/google-services-unity,0,best_matchFalse
263,GlitchEnzo/UnityPSDLayoutTool,0,best_matchFalse
264,vis2k/Mirror,18,best_matchFalse
265,IronWarrior/UnityReplaySystem,7,best_matchFalse
266,mopsicus/UnityMobileInput,4,best_matchFalse
267,tsubaki/Unity-Excel-Importer-Maker,0,best_matchFalse
268,bitcraftCoLtd/protobuf3-for-unity,0,best_matchFalse
269,nickjanssen/UnityToThreeExporter,0,best_matchFalse
270,georgejecook/UnityTimelineEvents,0,best_matchFalse
271,sschmid/Entitas-CSharp,0,best_matchFalse
272,jeffvella/UnityNativeCollision,0,best_matchFalse
273,mjholtzem/Unity-2D-Destruction,1,best_matchFalse
274,Unity-Technologies/unityscript2csharp,0,best_matchFalse
275,keijiro/KvantSwarm,0,best_matchFalse
276,fmod/UnityIntegration,0,best_matchFalse
277,ExtendRealityLtd/VRTK,0,best_matchFalse
278,playdeadgames/temporal,0,best_matchFalse
279,tutsplus/UnityFruitCutter,4,best_matchFalse
280,TomorrowTodayLabs/NewtonVR,0,best_matchFalse
281,ExtendRealityLtd/VRTK,0,best_matchTrue
282,ProtoTurtle/UnityBitmapDrawing,0,best_matchFalse
283,Unity-Technologies/AutoLOD,0,best_matchFalse
284,keijiro/FFmpegOut,0,best_matchFalse
285,NetEase/pomelo-unityclient,0,best_matchFalse
286,opencog/unity3d-opencog-game,20,best_matchFalse
287,JustInvoke/Randomation-Vehicle-Physics,23,best_matchFalse
288,talecrafter/AnimationImporter,0,best_matchFalse
289,Real-Serious-Games/Unity-Weld,0,best_matchFalse
290,keijiro/Pcx,0,best_matchFalse
291,marian42/wavefunctioncollapse,12,best_matchFalse
292,Looking-Glass/JoyconLib,0,best_matchFalse
293,lordofduct/spacepuppy-unity-framework,101,best_matchFalse
294,Mizipzor/UnityTileMap,10,best_matchFalse
295,Unity-Technologies/AutoLOD,0,best_matchTrue
296,keijiro/ShaderGraphExamples,0,best_matchFalse
297,andrewmacquarrie/UnityProjectionMapping,12,best_matchFalse
298,Scrawk/Ceto,23,best_matchFalse
299,Kogarasi/Unity-Webview,0,best_matchFalse
300,Looking-Glass/JoyconLib,0,best_matchTrue
301,cesardeazevedo/Unity3D-Python-Editor,0,best_matchFalse
302,yasirkula/UnityDynamicPanels,7,best_matchFalse
303,luzan/UnityVideoPlayer,0,best_matchFalse
304,mattatz/unity-teddy,7,best_matchFalse
305,123zzj123/Unity,119,best_matchFalse
306,CodeGize/UnitySapi,0,best_matchFalse
307,Seneral/Node_Editor_Framework,0,best_matchFalse
308,marian42/wavefunctioncollapse,12,best_matchTrue
309,Bunny83/UnityWindowsFileDrag-Drop,0,best_matchFalse
310,Bunny83/UnityWindowsFileDrag-Drop,0,best_matchTrue
311,Seneral/Node_Editor_Framework,0,best_matchTrue
312,judah4/HSV-Color-Picker-Unity,1,best_matchFalse
313,vovacooper/Unity3d_MQTT,0,best_matchFalse
314,k-lock/Unity3D,115,best_matchFalse
315,Leopotam/LeopotamGroupLibraryUnity,12,best_matchFalse
316,andydbc/unity-shadergraph-sandbox,0,best_matchFalse
317,microsoft/unityplugins,3,best_matchFalse
318,adevine1618/KinectSDK-Unity3D_Interface_Plugin,0,best_matchFalse
319,unitycontainer/container,0,best_matchFalse
320,traggett/UnityFramework,0,best_matchFalse
321,microsoft/MRDL_Unity_PeriodicTable,0,best_matchFalse
322,yasirkula/UnitySimplePatchTool,0,best_matchFalse
323,FatihBAKIR/UnityPacker,0,best_matchFalse
324,mortennobel/UnityUtils,0,best_matchFalse
325,HipsterSloth/psmove-unity5,57,best_matchFalse
326,WestHillApps/UniGif,0,best_matchFalse
327,5argon/protobuf-unity,0,best_matchFalse
328,wudixiaop/ShaderlabVS,0,best_matchFalse
329,valryon/water2d-unity,0,best_matchFalse
330,Xerxes1138/UnitySSR,0,best_matchFalse
331,zulfajuniadi/unity-ecs-navmesh,9,best_matchFalse
332,coding2233/UnityPaint,4,best_matchFalse
333,inkle/ink-unity-integration,1,best_matchFalse
334,asus4/UnityNativeDialogPlugin,0,best_matchFalse
335,Meragon/Unity-WinForms,0,best_matchFalse
336,Elringus/SpriteDicing,0,best_matchFalse
337,jamiltron/2048-unity,11,best_matchFalse
338,bitrave/azure-mobile-services-for-unity3d,7,best_matchFalse
339,EdyJ/blender-to-unity3d-importer,0,best_matchFalse
340,Over17/UnityAndroidPermissions,0,best_matchFalse
341,EdyJ/blender-to-unity3d-importer,0,best_matchTrue
342,andydbc/unity-frosted-glass,2,best_matchFalse
343,ouya/ouya-unity-plugin-old,47,best_matchFalse
344,prime31/RecyclerKit,0,best_matchFalse
345,s-m-k/Unity-Animation-Hierarchy-Editor,0,best_matchFalse
346,stillwwater/command_terminal,0,best_matchFalse
347,keijiro/SkyboxPlus,0,best_matchFalse
348,robertcupisz/LightShafts,0,best_matchFalse
349,mattatz/unity-triangulation2D,3,best_matchFalse
350,unity3d-jp/NVIDIAHairWorksIntegration,9,best_matchFalse
351,rotorz/unity3d-reorderable-list,0,best_matchFalse
352,Tencent/InjectFix,0,best_matchFalse
353,paynechu/jsonfx-for-unity3d,0,best_matchFalse
354,mattatz/unity-triangulation2D,3,best_matchTrue
355,meta-42/UnityFramework,13,best_matchFalse
356,robertcupisz/LightShafts,0,best_matchTrue
357,ejlv/UnityDarkThemePatch,0,best_matchFalse
358,Unity-Technologies/InputSystem,0,best_matchFalse
359,n-yoda/unity-vertex-effects,0,best_matchFalse
360,MrNerverDie/Unity-Flappy-Bird,1,best_matchFalse
361,NoelFB/UnityTile3D,0,best_matchFalse
362,GreatArcStudios/unitypausemenu,2,best_matchFalse
363,Unity-Technologies/InputSystem,0,best_matchTrue
364,kimsama/unity3d-webview-csharp,2,best_matchFalse
365,winxalex/Unity3d-InputMapper,21,best_matchFalse
366,Elringus/SpriteGlow,0,best_matchFalse
367,williambl/unity-destruction,4,best_matchFalse
368,zs9024/UnityRTC,0,best_matchFalse
369,BepInEx/BepInEx,7,best_matchFalse
370,stella3d/job-system-cookbook,0,best_matchFalse
371,PlayFab/UnityEditorExtensions,0,best_matchFalse
372,mapbox/mapbox-ar-unity,97,best_matchFalse
373,muckSponge/UnityAsync,1,best_matchFalse
374,ViveSoftware/ViveInputUtility-Unity,114,best_matchFalse
375,keijiro/RippleEffect,0,best_matchFalse
376,soomla/soomla-unity3d-core,0,best_matchFalse
377,mattatz/unity-volume-rendering,4,best_matchFalse
378,eliasts/Ocean_Community_Next_Gen,7,best_matchFalse
379,tucano/UnityRandom,1,best_matchFalse
380,yukihiko/ThreeDPoseUnitySample,22,best_matchFalse
381,Cotoff/UnityHeapEx,0,best_matchFalse
382,Elringus/SpriteGlow,0,best_matchTrue
383,keijiro/UnityCubes,0,best_matchFalse
384,kode80/UnityTools,1,best_matchFalse
385,LingJiJian/NavmeshExport,2,best_matchFalse
386,jbruening/unity3d-extensions,0,best_matchFalse
387,coding2233/TextInlineSprite,0,best_matchFalse
388,PushyPixels/BreakfastWithUnity,75,best_matchFalse
389,CaptainHillman/UnityTools,27,best_matchFalse
390,neil3d/UnityRemoteLog,0,best_matchFalse
391,newman55/unity-mod-manager,12,best_matchFalse
392,heroiclabs/nakama-unity,0,best_matchFalse
393,coding2233/UnityGameFramework,23,best_matchFalse
394,jongallant/DungeonGenerator,1,best_matchFalse
395,sttsai/PBaseDefense_Unity3D_Ver5,2,best_matchFalse
396,rayosu/UnityDllInjector,0,best_matchFalse
397,prime31/TouchKit,44,best_matchFalse
398,GameGrind/Simple-RPG-in-Unity,55,best_matchFalse
399,sonicether/SEGI,31,best_matchFalse
400,sonicether/SEGI,31,best_matchTrue
401,GameGrind/Simple-RPG-in-Unity,55,best_matchTrue
402,meniku/NPBehave,1,best_matchFalse
403,marcteys/unityFaceTracking,0,best_matchFalse
404,Scrawk/Marching-Cubes,0,best_matchFalse
405,ray-cast/UnityVOXFileImport,0,best_matchFalse
406,SaiTingHu/HTFramework,15,best_matchFalse
407,setchi/FancyScrollView,0,best_matchFalse
408,miguel12345/UnityWireframeRenderer,0,best_matchFalse
409,Syn-McJ/TFClassify-Unity,0,best_matchFalse
410,andydbc/unity-texture-packer,0,best_matchFalse
411,mob-sakai/SoftMaskForUGUI,0,best_matchFalse
412,sjai013/UnityGameplayAbilitySystem,21,best_matchFalse
413,OSVR/OSVR-Unity,15,best_matchFalse
414,keijiro/NoiseBall,0,best_matchFalse
415,Ninjajie/Fusion,33,best_matchFalse
416,Thundernerd/Unity3D-ExtendedEditor,13,best_matchFalse
417,dilmerv/UnityVFXEssentials,0,best_matchFalse
418,keijiro/Firefly,0,best_matchFalse
419,kyubuns/Baum2,0,best_matchFalse
420,sideeffects/HoudiniEngineForUnity_deprecated,2,best_matchFalse
421,ReaLisApp/Unity,57,best_matchFalse
422,hussien89aa/Unity2DGameTutorial,7,best_matchFalse
423,gitgiter/unity3d-learning,23,best_matchFalse
424,runwayml/unity,0,best_matchFalse
425,UnityTutorialsHD/Unity-Tutorial-Assets,24,best_matchFalse
426,Thundernerd/Unity3D-ExtendedEvent,0,best_matchFalse
427,MrJoy/UnityREPL,0,best_matchFalse
428,sharpaccent/Astar-for-Unity,0,best_matchFalse
429,adrenak/Tork,3,best_matchFalse
430,keijiro/KvantWig,0,best_matchFalse
431,nickgravelyn/UnityTiled,0,best_matchFalse
432,off99555/Unity3D-Python-Communication,0,best_matchFalse
433,robertoardila/support-unity-memoryprofiler,0,best_matchFalse
434,zezba9000/UnityMathReference,1,best_matchFalse
435,microsoft/xbox-live-unity-plugin,16,best_matchFalse
436,dgkanatsios/FlappyBirdStyleGame,9,best_matchFalse
437,keijiro/SpektrLightning,1,best_matchFalse
438,codeMonkeyWang/UnityChanAR,26,best_matchFalse
439,eral/UnityUIExtention,0,best_matchFalse
440,jareguo/unity-ugui,0,best_matchFalse
441,paullj/unity-tilemap,0,best_matchFalse
442,OskarSigvardsson/unity-delaunay,30,best_matchFalse
443,Mukarillo/UnityDynamicScrollRect,10,best_matchFalse
444,marijnz/unity-shell,0,best_matchFalse
445,AdamRamberg/unity-atoms,12,best_matchFalse
446,keijiro/KinoContour,0,best_matchFalse
447,Unity-Technologies/DOTS-Shmup3D-sample,19,best_matchFalse
448,ThirdPartyNinjas/UnityTools,0,best_matchFalse
449,Brackeys/RPG-Tutorial,20,best_matchFalse
450,microsoft/MapsSDK-Unity,4,best_matchFalse
451,TobiasWehrum/unity-utilities,8,best_matchFalse
452,keijiro/UnityMrtTest,0,best_matchFalse
453,TheAllenChou/unity-cj-lib,2,best_matchFalse
454,dr-matt-smith/unity-5-cookbook-codes,69,best_matchFalse
455,mtschoen/JSONObject,0,best_matchFalse
456,Scrawk/Terrain-Topology-Algorithms,0,best_matchFalse
457,AllenKashiwa/StudyUnity,8,best_matchFalse
458,xieliujian/UnityDemo_ProjectorShadow,5,best_matchFalse
459,Dharengo/Spriter2UnityDX,0,best_matchFalse
460,kwanchangnim/Jello-Physics,0,best_matchFalse
461,f111fei/react-native-unity-demo,0,best_matchFalse
462,neuecc/MessagePack-CSharp,0,best_matchFalse
463,chenjd/Realistic-Real-Time-Grass-Rendering-With-Unity,0,best_matchFalse
464,sanukin39/UniClipboard,0,best_matchFalse
465,miketucker/UnityAudioVisualizerTutorial,12,best_matchFalse
466,TakuanDaikon/DFGUI,37,best_matchFalse
467,FriskeKC31/UnityTutorials,16,best_matchFalse
468,trulyspinach/Unity-Neural-Network-Tanks-AI,3,best_matchFalse
469,igiagkiozis/CrystalAI,0,best_matchFalse
470,xasset/xasset,0,best_matchFalse
471,schlunsen/UnityAwesomium,8,best_matchFalse
472,keijiro/KvantStream,0,best_matchFalse
473,zhenghongzhi/Unity-JumpJump,3,best_matchFalse
474,joexi/Excel4Unity,0,best_matchFalse
475,PhilSA/ECSPhysics,0,best_matchFalse
476,Siccity/GLTFUtility,0,best_matchFalse
477,unity3d-jp/UnityChanBallRoll,33,best_matchFalse
478,stereolabs/zed-unity,55,best_matchFalse
479,kobakei/unity-gcm,0,best_matchFalse
480,unity3d-jp/UnityChanBallRoll,33,best_matchTrue
481,hecomi/UnityECSBoidsSimulation,0,best_matchFalse
482,L-Lawliet/UGUIExtend,0,best_matchFalse
483,kobakei/unity-gcm,0,best_matchTrue
484,jaredmessenger/unity3d-google-analytics,0,best_matchFalse
485,hiryma/UnitySamples,36,best_matchFalse
486,GameBuildingBlocks/PerfAssist,0,best_matchFalse
487,f15gdsy/2D-Light-of-Sight-Unity,15,best_matchFalse
488,Shmaug/UnityPlanets,28,best_matchFalse
489,leoin2012/Unity-MeshMask,0,best_matchFalse
490,FICTURE7/UnityDissector,0,best_matchFalse
491,EdoFrank/RainDropEffect,0,best_matchFalse
492,NormandErwan/ArucoUnity,0,best_matchFalse
493,keijiro/KinoMotion,0,best_matchFalse
494,nicloay/Node-Inspector,3,best_matchFalse
495,liortal53/MissingReferencesUnity,0,best_matchFalse
496,Unity-Technologies/usd-unity-sdk,0,best_matchFalse
497,TeamSirenix/odin-serializer,0,best_matchFalse
498,aschearer/unitysizeexplorer,0,best_matchFalse
499,JoaoBorks/unity-fastpacedmultiplayer,3,best_matchFalse
500,pharan/Unity-MeshSaver,0,best_matchFalse
